,instagram_likes,instagram_followers,created_at,title
160,0.0,173.0,2013-06-13T23:16:46Z,#awesome #nearly #bestnameever #coke #cocacola #shareacokewithfriends #shareacokewithbeth #hashtag #summerdrinks #dreinkup #midnightcruise
161,6.0,1222.0,2013-06-13T23:16:45Z,Hahaha  #iphone #itagalot #instagood #instagram #instamood #iphonesia #iphoneonly #you #picoftheday #photooftheday #bestpicoftheday #l4l #like #like #love #nice #cute #cool #true #tweegram #reality #bored #funny #follow #followme #cocacola #mud
162,4.0,124.0,2013-06-13T23:13:55Z,Instagram has such badass effects
163,17.0,787.0,2013-06-13T23:13:53Z,#cocacola #love #instagood #me #cute #tbt #eyes #statigram #throwbackthursday #photooftheday #nice #follow #beautiful #happy #all_shots #harrystyles #girl #instamood #picoftheday #instadaily #instago #igers #jj_forum #like #followme #fashion #fun #smile #bestoftheday #iphonesia
164,1.0,175.0,2013-06-13T23:13:52Z,#friends#cocacola#superstar#chill
165,2.0,268.0,2013-06-13T23:13:48Z,Ta Facil não ! #Fome #bigtasty #Fritas #CocaCola #Sozinho
166,0.0,80.0,2013-06-13T23:13:46Z,"Yakisoba, coca cola e filminho. Ótima maneira de se encerrar uma quinta feira! ;)"
167,,,2013-06-13T23:13:44Z,finding a coke bottle with my name on #finally hehe thanks #cocacola. http://t.co/5HeliRQ2Ko
168,0.0,126.0,2013-06-13T23:10:55Z,#party #redlabel #whisky #cocacola #play
169,6.0,54.0,2013-06-13T23:10:54Z,
170,8.0,243.0,2013-06-13T23:10:52Z,#cinema #fastandfurious #6 #girl #me #cocacola #cute #face #smile #fashion #good #lovely #picture #saturday #night
171,9.0,104.0,2013-06-13T23:10:50Z,#delicious #food #hamburguer #frenchfries #cocacola #fat #funny #fun #follow4follow #followme #good #goodnight #happy #happines #instalike #instacool #insafollow #instagood #likeforlike #likeme #love #my #night #picoftheday #paradise #pic4you #photo #s2
172,1.0,1372.0,2013-06-13T23:10:48Z,A favorite corner of my room! #vintage #coke #cocacola #books #oldbooks #posters #shelves #table #lamp #nicknacks #room #messy
173,0.0,83.0,2013-06-13T23:10:47Z,#CocaCola #thirsty free drink. #instacola #aluminum #isnapdaily #iphone4s #iphonography
174,0.0,97.0,2013-06-13T23:10:45Z,My day >>>>> #drinking #polarpop #cocacola #admiralnelson #trampoline #listeningtopandora #ohyeah
175,0.0,131.0,2013-06-13T23:10:43Z,ويحلى السهر  #CocaCola #cherry #Yummy #Take_break_myself
176,2.0,204.0,2013-06-13T23:07:45Z,"Coca reparadora en el trabajo!! "" #cocacola #refresco #cola #sed #telcel #telceleslared #trabajo #comida #food #happy #love #job"
177,11.0,604.0,2013-06-13T23:07:45Z,taking a swim all by myself  #summer2k13 #swimming #relaxing #hotweather #arizonaheat #cocacola #topnot
178,1.0,31.0,2013-06-13T23:07:44Z,#cocacola#night#goodnigth#happy#bye.
179,0.0,387.0,2013-06-13T23:07:44Z,Spuntini di  #cocacola #spuntinodimezzanotte #sensiblerie #midnightsnack #brufoli
180,4.0,953.0,2013-06-13T23:07:43Z,"Love ?? #instahood #instacollage #instadaily #instago #instalike #instaphoto #turk #turkish #almanya #followme #frankfurt #frankfurtammain #ffm 
#girl #throwback #photooftheday #tagsforlikes #tbt 
#cocacola #cola #love #summer #dinner"
181,0.0,345.0,2013-06-13T23:07:43Z,#shareacokewith #coke #cocacola #veera #starplus #veerkiardasveera #LOL #instamood
182,3.0,148.0,2013-06-13T23:07:43Z,"Tiupar, social. 
#social #party #coke #cocacola #love #photooftheday #look #like #iphoneonly #instagood #instago #colorful #style #swag"
183,0.0,255.0,2013-06-13T23:07:42Z,#fikk#gave#av#bjørnar#kjekken#cocacola#agderposten
184,1.0,113.0,2013-06-13T23:07:42Z,#i #get #this #bottle #of #CocaCola #from #my #handsome #schoolmate @aljazjager #before #movie #cinema #HelloKitty #haha #followme #mačka #cat #meow #mjaw
185,0.0,867.0,2013-06-13T23:07:41Z,#cocacola #cocofashionblogger
186,22.0,1672.0,2013-06-13T23:05:10Z,Coca cola •open happiness• #cantwink #retarded #happiness #cocacola
187,0.0,77.0,2013-06-13T23:05:09Z,Not sure if this is a name or another brand of coke? #stoneczko #cola #cocacola  #wtf #confused
188,1.0,37.0,2013-06-13T23:05:08Z,Cola... #cocacola
189,20.0,87.0,2013-06-13T23:05:07Z,#cocacola #and #some #american #candy
190,0.0,95.0,2013-06-13T23:05:05Z,"Earlier I found my mum, nan and aunties name all next to each other on the shelf! #spooky #fate #cocacola #shareacoke #family"
191,2.0,97.0,2013-06-13T23:05:03Z,Share a coke with a Friend （＾∇＾）
192,2.0,762.0,2013-06-13T23:05:02Z,Miam
193,1.0,27.0,2013-06-13T23:05:02Z,#HDR #effect #flowers #dog #picture #cocacola #decoration #bottles
194,1.0,34.0,2013-06-13T23:05:00Z,#jajda #zamuuchila #coffe #coldcoffe#cocktail #cocacola #burn #energizer #coldlatte #latte #drink #summer #sun #air #green #yalta #alushta #energydrink
195,3.0,621.0,2013-06-13T23:05:00Z,Pane arabo... #questesonogioie #cocacola #panearabo #crudo #pomodori #insalata #pizza #casamatta #firenze #instafirenze #instaitalia #instapizza #instaeat #igersfirenze @igers_firenze @igersfirenze #instatoscana #instalike
196,1.0,156.0,2013-06-13T23:04:59Z,#igscout #_wg #instagramer #instaaaaah #insta_crew #instapicture #instamillion #instagold #photolocker #instago #instagroove #ignation #instahub #original #golook #gang_family #insta_underdog #tagstagramers #all_shots #instapic #igaddict #centralfeed #tagsta #igs#cocacola
197,4.0,443.0,2013-06-13T23:04:59Z,#amoremiogrande #bff #sempreinsieme #belle #come #il #sole #hihi #pranzetto #met #sunny #day #summer #sun #cocacola #zero #ghiaccioelimone #top #beautiful #day #ciao #atutti #belliebrutti
198,3.0,0.0,2013-06-13T23:04:58Z,#cocacola#голубые #глаза #эфекты #радость
199,52.0,460.0,2013-06-13T23:04:43Z,So damn hot
200,104.0,935.0,2013-06-13T23:04:43Z,"On ignore celui qui tient à nous mais on tient à celui qui nous ignore. On aime celui qui nous blesse, et on blesse celui qui nous aime. #BestFriend #Smile #Sun"
