"X","Unnamed..0","Unnamed..0.1","instagram_likes","instagram_comments","instagram_followers","country","title","zip","kmeans","X.cocacola","X.coke","X.love","a","X.drink","X.cola","my","i","X.me","X.instagood","the","X.followme","X.summer","X.like","X.red","X.name","X.coca","with","X.instagram","coke","X.follow","X.friends","X.happy","coca","de","X.picoftheday","to","X.share","cola","X.photooftheday","X..","and","X.my","X.food","X.tagsforlikes","me","X.instadaily","X.cool","X.instamood","la","X.fun","X.cute","this","X.girl","in.","X.with","X.like4like","X.swag","is","of","rf"
629,629,"629",3,1,348,NA,"âù_ Friends!",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.496990029166
8317,8317,"8316",16,0,144,NA,"You saved my life. #CocaCola #MarcJacobs",NA,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45009790260956
161,161,"161",6,0,1222,NA,"Hahaha ï˜„ï˜„ï˜„ #iphone #itagalot #instagood #instagram #instamood #iphonesia #iphoneonly #you #picoftheday #photooftheday #bestpicoftheday #l4l #like #like #love #nice #cute #cool #true #tweegram #reality #bored #funny #follow #followme #cocacola #mud",NA,7,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,12.1483446563241
5784,5784,"5784",0,0,262,NA,"Jantar bÃ¡sico hojee... #night #jantar #coke #cocacola #carne #especial",NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55443457515841
3770,3770,"3770",1,0,261,NA,"Voi avete il nome sulla coca COLA  io ho il nome d'arte sul porta SALE AHAHAHA BELLA #salemc#sale#coca#cola#cocacola#contenitore#del#sale ï‘‰âœŒï‘ˆ",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3054737225769
6593,6593,"6592",6,0,3,NA,"#followme#fotogassosa#swag#markomosca#roccarasobeach#pregara#ski#snow#cuccarollostyle#race#uvex#atomic#leki#energiapura#salomon#briko#pizzalto#cocacola#basik#riky#slalomspeciale#protezioni#followmefollowme",NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48533807377284
8904,8904,"8903",4,0,23,"Denmark","Drinking#a#cold#CocaCola#mmh#","6000",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90802501904588
1593,1593,"1593",0,0,1332,"Italy","#aperitif#cocacola#amore#chalet#barbato#friends#love @anto_coci @itaca92 @danhumprey90","80143",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6581531178255
5890,5890,"5890",2,1,440,NA,"Hoje a noite?  Tudo BIG.  #BigMac #bigtasty #big #mc #Donalds #Tasty #sweet #haburguer #cocacola #coke #potato #chips #instagram #amazing #night #drink #drinking #red #brazil #copa",NA,10,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1971659040233
3688,3688,"3688",2,0,403,NA,"Thats my name bitch #liampayne #directioner #loveit #me #cool #awesome #cocacola #switzerland #swissdirectioner #payne #hot #amazing #iwant #red #zuerich #inlove #omg #onemoment #onedirection #peace #1D @harrystyles @niallhoran",NA,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.54542186196237
3959,3959,"3959",0,0,35,"United Kingdom","Boom!!! #coke #mark #cocacola","SG5 2",9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16571799177674
3447,3447,"3447",3,0,420,NA,"#amy #coke #reunited #hot #mmm #raz #ames #share #a #coke #cocacola",NA,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29742387778034
5072,5072,"5072",6,0,1017,NA,"#cocacola #friend #cute #awesome #TFLers #tweegram #tbt #instagramhub #picstitch #doubletab #nofilter #instacool #instago #20likes #follow4follow #all_shots #colorful #iphonesia #iphoneonly #tagsforlikes #shoutout #picoftheday #igdaily",NA,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.13169864371686
4924,4924,"4924",62,2,460,"Norway",NA,"2212",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3084152416379
