,instagram_likes,instagram_comments,instagram_followers,country,title,zip
219,0,0,41,,Condividi una cocacola con un tuo amicoî€‘î€‘! #cocacola #france #paris #love #this #city,
220,0,0,20,,Last time I'll see Kanyin for the summerï˜¢ #cocacola,
221,2,1,65,,Linksmuoliaujam :) #friends #vodka #party,
222,10,0,381,,Para aligerar el dÃ_a. #love #CocaCola #TFLers #tweegram #photooftheday #20likes #amazing #followme #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily #instafollow #like #girl #iphoneonly #instagood #bestoftheday #instacool #instago #all_shots #follow #webstagram #colorful #style #coatza,
223,15,0,8448,,Who is Robin? ï‘» #cocacola#robin#kÃ_rleken#sara#lol#my#name#niggah#bitch#instagood#drinks#loveit#lamo#fuckers,
224,0,0,320,France,#cocacola,75116
225,6,0,385,Italy,Condividi questa Coca Cola con chi sorride ï˜„ @giuls_cherry âù_ #cocacola#lattina#chisorride#behappy#sore#sister#beauty#beautiful#drink#red#redpassion#nails#insta#pic#photooftheday#instaday#tag#target#code#hand#best#likes#likeforlike#l4l#xoxo,21040
226,7,0,80,,#me and my  #super #sexy #brother #love #him #share a #cocacola eith #olga @capsh1ika #instaphoto #instamood #instamoment #photooftheday #followme,
227,0,0,59,,Huuuummmmm #vodka #cocacola #bebertodas #london,
228,0,0,135,,#miojo#requeijao#presunto#queijo#cocacola#quinta#prova#clinica#tenso,
229,7,3,191,Spain,Fridays como en los viejos tiempos *O*,28015
230,0,0,101,Chile,Ya encontrÃ© los Castillo ahora me falta los Vidal #cocacola,4780000
231,1,0,72,,@2giordy9 #cocacola #coca #love #cola,
232,1,1,777,,Starï˜˜,
233,0,0,21,,#cocacola#my#name..;),
234,0,0,171,,They do exist. #cocacola #biggulp,
235,0,0,80,,#bettle #vw #guatemalacars #inthestreet #instagram #cocacola #volkswagen,
236,1,0,80,,#Cocacola #big #medium #small #ARTE,
237,5,0,127,,NÃ¥ er hvertfall mitt liv komplettï˜ƒ #share#a#or#two#coke#with#me#life#is#complete#now#happy#as#i#can#be#john#martin#cocacola#magnificent#beautiful,
238,11,0,156,Cyprus,#hand #m&m #yellow #blue #yummy #cool #instafun #instacool #instamood #instaturkey #instagramers #instagramers #tagsforlike #tagforlike #followme #beautiful #desert #twigram #cocacola #drunk #smoke #bestfriend  #brithday #pinkberry #bonibon #love #hurt #happy #smile #smoke #slims,
239,1,0,26,Ireland,I had to do it!!! #coke #cocacola,
240,1,0,71,United States,Cheers to African Coke products :) #worldofcoke #hotlanta #cocacola #summer #drinkup,30313
241,0,0,98,France,#cocacola #yohou,75008
242,0,0,223,Italy,#my #name #cocacola,37132
243,1,0,72,,Open happiness. #cocacola #snapback #polarbear,
